timestamp,comfort,tools_used,tools_used_other,tools_used_other_optional,role,role_other,learning_interests,learning_interests_other,implementation_idea_flag,implementation_idea_text,session_formats
2026-03-02 14:02:02,5 – Advanced (build/evaluate AI solutions),Claude,,canva,Project Manager,,AI for testing/QA and documentation,agentic ai,Yes,agentic ai,Live demo + Q&A (60–90 min); Show-and-tell of internal use cases
2026-03-02 14:13:14,3 – Comfortable with common tools,Other (please specify),gggg,Tester/QA,ggg,"Safe and responsible AI (security, privacy, governance)",ggggg,Yes,ggggg,Show-and-tell of internal use cases; Office hours / coaching
2026-03-03 10:25:01,3 – Comfortable with common tools,Other (please specify),,Claude,Project Manager,Claude,"Safe and responsible AI (security, privacy, governance)",Claude,Yes,Claude,Show-and-tell of internal use cases
2026-03-03 10:27:06,3 – Comfortable with common tools,Google Gemini,,,Tester/QA,,"Build AI-powered apps and integrations (APIs, function calling, connecting tools)",,Not yet,,Self-paced materials and quick reference guides
2026-03-03 10:28:34,5 – Advanced (build/evaluate AI solutions),Claude,,,Project Manager,,"Build AI-powered apps and integrations (APIs, function calling, connecting tools)",,Not yet,,Self-paced materials and quick reference guides
2026-03-03 10:28:56,4 – Confident (use AI regularly),Claude,,,Project Manager,,"Safe and responsible AI (security, privacy, governance)",,Not yet,,Self-paced materials and quick reference guides
2026-03-03 10:46:36,4 – Confident (use AI regularly),Other (please specify),,,Project Manager,,"Safe and responsible AI (security, privacy, governance)",,Not yet,,
2026-03-03 10:47:30,4 – Confident (use AI regularly),Other (please specify),,,Project Manager,,"Safe and responsible AI (security, privacy, governance)",,Not yet,,Office hours / coaching
2026-03-03 10:48:37,4 – Confident (use AI regularly),Claude,,,Project Manager,,,fff,Not yet,,Show-and-tell of internal use cases
2026-03-03 10:49:39,3 – Comfortable with common tools,Google Gemini,,,Tester/QA,,"Build AI-powered apps and integrations (APIs, function calling, connecting tools)",,Not yet,,Self-paced materials and quick reference guides
